Dataset,Shape,Total Missing Values,Accross Missing Columns,Missing %
o1_X_external,"(234720, 345)",39527616,308,48.812542603953645
o1_X_test,"(15312, 345)",1985664,292,37.58847848802871
o1_X_train,"(122496, 345)",15876288,304,37.56712552814502
o1_X_validate,"(15312, 345)",2007696,296,38.00554268320385
o1_y_external_los,"(234720, 1)",0,0,0.0
o1_y_external_mortality,"(234720, 1)",0,0,0.0
o1_y_test_los,"(15312, 1)",0,0,0.0
o1_y_test_mortality,"(15312, 1)",0,0,0.0
o1_y_train_los,"(122496, 1)",0,0,0.0
o1_y_train_mortality,"(122496, 1)",0,0,0.0
o1_y_validate_los,"(15312, 1)",0,0,0.0
o1_y_validate_mortality,"(15312, 1)",0,0,0.0
o2_X_external,"(117360, 345)",19763572,308,48.81195973247187
o2_X_test,"(7656, 345)",992832,292,37.58847848802871
o2_X_train,"(61248, 345)",7938144,304,37.56712552814502
o2_X_validate,"(7656, 345)",1003848,296,38.00554268320385
o2_y_external_los,"(117360, 1)",0,0,0.0
o2_y_external_mortality,"(117360, 1)",0,0,0.0
o2_y_test_los,"(7656, 1)",0,0,0.0
o2_y_test_mortality,"(7656, 1)",0,0,0.0
o2_y_train_los,"(61248, 1)",0,0,0.0
o2_y_train_mortality,"(61248, 1)",0,0,0.0
o2_y_validate_los,"(7656, 1)",0,0,0.0
o2_y_validate_mortality,"(7656, 1)",0,0,0.0
o3_X_external,"(78240, 345)",13175808,308,48.81230550368987
o3_X_test,"(5104, 345)",661888,292,37.58847848802871
o3_X_train,"(40832, 345)",5292096,304,37.56712552814502
o3_X_validate,"(5104, 345)",669232,296,38.00554268320385
o3_y_external_los,"(78240, 1)",0,0,0.0
o3_y_external_mortality,"(78240, 1)",0,0,0.0
o3_y_test_los,"(5104, 1)",0,0,0.0
o3_y_test_mortality,"(5104, 1)",0,0,0.0
o3_y_train_los,"(40832, 1)",0,0,0.0
o3_y_train_mortality,"(40832, 1)",0,0,0.0
o3_y_validate_los,"(5104, 1)",0,0,0.0
o3_y_validate_mortality,"(5104, 1)",0,0,0.0
o4_X_external,"(58680, 345)",9881900,308,48.81252284559833
o4_X_test,"(3828, 345)",496416,292,37.58847848802871
o4_X_train,"(30624, 345)",3969072,304,37.56712552814502
o4_X_validate,"(3828, 345)",501924,296,38.00554268320385
o4_y_external_los,"(58680, 1)",0,0,0.0
o4_y_external_mortality,"(58680, 1)",0,0,0.0
o4_y_test_los,"(3828, 1)",0,0,0.0
o4_y_test_mortality,"(3828, 1)",0,0,0.0
o4_y_train_los,"(30624, 1)",0,0,0.0
o4_y_train_mortality,"(30624, 1)",0,0,0.0
o4_y_validate_los,"(3828, 1)",0,0,0.0
o4_y_validate_mortality,"(3828, 1)",0,0,0.0
