Dataset,Shape,Total Missing Cells,Total Missing %,Columns with Missing (%),Max % Missing in Row,Mean % Missing in Row,Min % Missing in Row
o1_X_external,"(234720, 345)",39527616,48.81,308,89.28,48.81,13.91
o2_X_external,"(117360, 345)",19763572,48.81,308,89.28,48.81,13.91
o4_X_external,"(58680, 345)",9881900,48.81,308,89.28,48.81,13.91
o3_X_external,"(78240, 345)",13175808,48.81,308,89.28,48.81,13.91
o3_X_validate,"(5104, 345)",669232,38.01,296,78.84,38.01,9.28
o1_X_validate,"(15312, 345)",2007696,38.01,296,78.84,38.01,9.28
o2_X_validate,"(7656, 345)",1003848,38.01,296,78.84,38.01,9.28
o4_X_validate,"(3828, 345)",501924,38.01,296,78.84,38.01,9.28
o3_X_test,"(5104, 345)",661888,37.59,292,80.0,37.59,10.43
o1_X_test,"(15312, 345)",1985664,37.59,292,80.0,37.59,10.43
o2_X_test,"(7656, 345)",992832,37.59,292,80.0,37.59,10.43
o4_X_test,"(3828, 345)",496416,37.59,292,80.0,37.59,10.43
o3_X_train,"(40832, 345)",5292096,37.57,304,81.16,37.57,6.96
o1_X_train,"(122496, 345)",15876288,37.57,304,81.16,37.57,6.96
o2_X_train,"(61248, 345)",7938144,37.57,304,81.16,37.57,6.96
o4_X_train,"(30624, 345)",3969072,37.57,304,81.16,37.57,6.96
o3_y_train_los,"(40832, 1)",0,0.0,0,0.0,0.0,0.0
o3_y_train_mortality,"(40832, 1)",0,0.0,0,0.0,0.0,0.0
o3_y_validate_los,"(5104, 1)",0,0.0,0,0.0,0.0,0.0
o3_y_validate_mortality,"(5104, 1)",0,0.0,0,0.0,0.0,0.0
o4_y_external_los,"(58680, 1)",0,0.0,0,0.0,0.0,0.0
o3_y_test_los,"(5104, 1)",0,0.0,0,0.0,0.0,0.0
o4_y_external_mortality,"(58680, 1)",0,0.0,0,0.0,0.0,0.0
o4_y_test_los,"(3828, 1)",0,0.0,0,0.0,0.0,0.0
o4_y_test_mortality,"(3828, 1)",0,0.0,0,0.0,0.0,0.0
o4_y_train_los,"(30624, 1)",0,0.0,0,0.0,0.0,0.0
o4_y_train_mortality,"(30624, 1)",0,0.0,0,0.0,0.0,0.0
o4_y_validate_los,"(3828, 1)",0,0.0,0,0.0,0.0,0.0
o3_y_test_mortality,"(5104, 1)",0,0.0,0,0.0,0.0,0.0
o1_y_external_los,"(234720, 1)",0,0.0,0,0.0,0.0,0.0
o3_y_external_mortality,"(78240, 1)",0,0.0,0,0.0,0.0,0.0
o3_y_external_los,"(78240, 1)",0,0.0,0,0.0,0.0,0.0
o1_y_test_los,"(15312, 1)",0,0.0,0,0.0,0.0,0.0
o1_y_test_mortality,"(15312, 1)",0,0.0,0,0.0,0.0,0.0
o1_y_train_los,"(122496, 1)",0,0.0,0,0.0,0.0,0.0
o1_y_train_mortality,"(122496, 1)",0,0.0,0,0.0,0.0,0.0
o1_y_validate_los,"(15312, 1)",0,0.0,0,0.0,0.0,0.0
o1_y_validate_mortality,"(15312, 1)",0,0.0,0,0.0,0.0,0.0
o2_y_external_los,"(117360, 1)",0,0.0,0,0.0,0.0,0.0
o2_y_external_mortality,"(117360, 1)",0,0.0,0,0.0,0.0,0.0
o2_y_test_los,"(7656, 1)",0,0.0,0,0.0,0.0,0.0
o2_y_test_mortality,"(7656, 1)",0,0.0,0,0.0,0.0,0.0
o2_y_train_los,"(61248, 1)",0,0.0,0,0.0,0.0,0.0
o2_y_train_mortality,"(61248, 1)",0,0.0,0,0.0,0.0,0.0
o2_y_validate_los,"(7656, 1)",0,0.0,0,0.0,0.0,0.0
o2_y_validate_mortality,"(7656, 1)",0,0.0,0,0.0,0.0,0.0
o1_y_external_mortality,"(234720, 1)",0,0.0,0,0.0,0.0,0.0
o4_y_validate_mortality,"(3828, 1)",0,0.0,0,0.0,0.0,0.0
