,Observed Min,Observed Max
Alanine_Aminotransferase_(ALT)_(Max),1.0,8776.0
Albumin_(Max),1.0,5.099999904632568
Alkaline_Phosphatase_(Max),9.0,1448.0
Ammonia_(Max),2.200000047683716,157.0
Amylase_(Max),8.0,4867.0
Anion_Gap_(Max),-3.0,49.0
Arterial_Blood_Pressure_diastolic_(mmHg)_(Max),0.0,85101.0
Arterial_Blood_Pressure_mean_(mmHg)_(Max),-17.0,13898.0
Arterial_Blood_Pressure_systolic_(mmHg)_(Max),0.0,365.0
Asparate_Aminotransferase_(AST)_(Max),0.0,15924.0
BUN_(Max),3.0,208.0
Base_Excess_(Max),-27.0,44.0
Bicarbonate_(Max),6.0,44.0
Bilirubin_Direct_(Max),0.0,19.799999237060547
CK-MB_(Max),0.0,500.0
CK_(CPK)_(Max),8.0,102700.0
C_Reactive_Protein_(CRP)_(Max),0.0,2582.0
Calcium_non-ionized_(Max),1.600000023841858,138.0
Calculated_Total_CO2_(Max),4.0,77.30000305175781
Central_Venous_Pressure_(mmHg)_(Max),-26.0,1952.0
Chloride_(Max),63.0,154.0
Chloride_(serum)_(Max),0.10999999940395355,999999.0
Creatinine_(Max),0.20000000298023224,33.20000076293945
Differential-Basos_(Max),0.0,6.0
Differential-Eos_(Max),0.0,28.0
Differential-Lymphs_(Max),0.0,100.0
Differential-Monos_(Max),0.0,53.0
Differential-Neuts_(Max),0.0,100.0
ETOH_(Max),0.0,386.0
Fibrinogen_(Max),35.0,1709.0
GCS_(Max),1.0,15.0
Glucose_(Max),27.0,1293.0
Glucose_finger_stick_(range_70-100)_(Max),1.0,600.0
Haptoglobin_(Max),9.0,437.0
Heart_Rate_(bpm)_(Max),0.0,6262.0
Hematocrit_(Max),9.399999618530273,64.5999984741211
Hemoglobin_(Max),2.700000047683716,20.299999237060547
INR(PT)_(Max),0.800000011920929,21.799999237060547
Inspired_O2_Fraction_(Max),0.0,5015.0
Ionized_Calcium_(Max),0.10899999737739563,15.319999694824219
LDH_(Max),74.0,22481.0
Lactate_(Max),0.4000000059604645,30.5
MCHC_(Max),25.100000381469727,39.599998474121094
MCH_(Max),16.100000381469727,43.0
MCV_(Max),56.70000076293945,134.0
Magnesium_(Max),0.5,6.400000095367432
Non_Invasive_Blood_Pressure_diastolic_(mmHg)_(Max),0.0,84101.0
Non_Invasive_Blood_Pressure_mean_(mmHg)_(Max),3.0,120130.0
Non_Invasive_Blood_Pressure_systolic_(mmHg)_(Max),0.0,881.0
O2_Flow_(L/min)_(Max),0.0,500.0
O2_saturation_pulseoxymetry_(%)_(Max),16.0,1010.0
PEEP_set_(cmH2O)_(Max),0.0,750.0
PTT_(Max),18.0,223.8000030517578
PT_(Max),9.399999618530273,150.0
Pain_Level_(Max),-1.0,180.0
Phosphate_(Max),0.4000000059604645,13.0
Platelet_Count_(Max),4.0,1783.0
Potassium_(Max),1.399999976158142,9.399999618530273
Pulmonary_Artery_Pressure_diastolic_(mmHg)_(Max),5.0,79.0
Pulmonary_Artery_Pressure_mean_(mmHg)_(Max),-33.0,323.0
Pulmonary_Artery_Pressure_systolic_(mmHg)_(Max),13.0,167.0
RDW_(Max),11.399999618530273,30.200000762939453
Red_Blood_Cells_(Max),0.8600000143051147,7.650000095367432
Respiratory_Rate_(insp/min)_(Max),0.0,9816.0
Reticulocyte_Count_Automated_(Max),0.20000000298023224,56.0
Sedimentation_Rate_(Max),0.0,143.0
Serum_Osmolality_(Max),225.0,999999.0
Sodium_(Max),93.0,183.0
Temperature_Fahrenheit_(F)_(Max),35.0,214.5
Thyroxine_(T4)_Free_(Max),0.27000001072883606,2.700000047683716
Total_Bilirubin_(Max),0.10000000149011612,24.200000762939453
Troponin-T_(Max),0.0,199.52999877929688
Uric_Acid_(Max),1.2999999523162842,16.5
White_Blood_Cells_(Max),0.20000000298023224,361.0
pCO2_(Max),9.0,163.39999389648438
pH_(Max),5.0,8.5
pO2_(Max),18.0,635.0
