,Observed Min,Observed Max
Alanine_Aminotransferase_(ALT)_(Min),1.0,7510.0
Albumin_(Min),1.0,5.099999904632568
Alkaline_Phosphatase_(Min),8.0,1448.0
Ammonia_(Min),2.200000047683716,130.0
Amylase_(Min),7.0,4867.0
Anion_Gap_(Min),-3.0,49.0
Arterial_Blood_Pressure_diastolic_(mmHg)_(Min),-2.0,355.0
Arterial_Blood_Pressure_mean_(mmHg)_(Min),-37.0,363.0
Arterial_Blood_Pressure_systolic_(mmHg)_(Min),0.0,365.0
Asparate_Aminotransferase_(AST)_(Min),0.0,12652.0
BUN_(Min),2.0,208.0
Base_Excess_(Min),-27.0,21.399999618530273
Bicarbonate_(Min),6.0,43.900001525878906
Bilirubin_Direct_(Min),0.0,19.799999237060547
CK-MB_(Min),0.0,500.0
CK_(CPK)_(Min),8.0,91980.0
C_Reactive_Protein_(CRP)_(Min),0.0,2582.0
Calcium_non-ionized_(Min),1.600000023841858,13.699999809265137
Calculated_Total_CO2_(Min),4.0,77.30000305175781
Central_Venous_Pressure_(mmHg)_(Min),-31.0,355.0
Chloride_(Min),63.0,140.0
Chloride_(serum)_(Min),0.0,140.0
Creatinine_(Min),0.0,33.099998474121094
Differential-Basos_(Min),0.0,6.0
Differential-Eos_(Min),0.0,22.0
Differential-Lymphs_(Min),0.0,100.0
Differential-Monos_(Min),0.0,38.0
Differential-Neuts_(Min),0.0,100.0
ETOH_(Min),0.0,386.0
Fibrinogen_(Min),35.0,1709.0
GCS_(Min),1.0,15.0
Glucose_(Min),27.0,1293.0
Glucose_finger_stick_(range_70-100)_(Min),0.0,600.0
Haptoglobin_(Min),9.0,437.0
Heart_Rate_(bpm)_(Min),0.0,171.0
Hematocrit_(Min),7.0,60.099998474121094
Hemoglobin_(Min),2.5999999046325684,19.899999618530273
INR(PT)_(Min),0.6000000238418579,21.799999237060547
Inspired_O2_Fraction_(Min),0.0,5015.0
Ionized_Calcium_(Min),0.10899999737739563,7.039999961853027
LDH_(Min),74.0,22481.0
Lactate_(Min),0.4000000059604645,30.5
MCHC_(Min),24.899999618530273,39.599998474121094
MCH_(Min),16.100000381469727,43.0
MCV_(Min),56.70000076293945,134.0
Magnesium_(Min),0.5,6.400000095367432
Non_Invasive_Blood_Pressure_diastolic_(mmHg)_(Min),0.0,7793.0
Non_Invasive_Blood_Pressure_mean_(mmHg)_(Min),0.0,120130.0
Non_Invasive_Blood_Pressure_systolic_(mmHg)_(Min),0.0,253.0
O2_Flow_(L/min)_(Min),0.0,500.0
O2_saturation_pulseoxymetry_(%)_(Min),0.0,100.0
PEEP_set_(cmH2O)_(Min),0.0,750.0
PTT_(Min),18.0,187.60000610351562
PT_(Min),8.300000190734863,150.0
Pain_Level_(Min),-1.0,180.0
Phosphate_(Min),0.30000001192092896,13.0
Platelet_Count_(Min),4.0,1592.0
Potassium_(Min),1.100000023841858,9.399999618530273
Pulmonary_Artery_Pressure_diastolic_(mmHg)_(Min),-50.0,79.0
Pulmonary_Artery_Pressure_mean_(mmHg)_(Min),-33.0,323.0
Pulmonary_Artery_Pressure_systolic_(mmHg)_(Min),8.0,167.0
RDW_(Min),11.300000190734863,30.200000762939453
Red_Blood_Cells_(Min),0.8600000143051147,7.25
Respiratory_Rate_(insp/min)_(Min),0.0,100.0
Reticulocyte_Count_Automated_(Min),0.20000000298023224,56.0
Sedimentation_Rate_(Min),0.0,143.0
Serum_Osmolality_(Min),225.0,421.0
Sodium_(Min),93.0,165.0
Temperature_Fahrenheit_(F)_(Min),0.0,212.89999389648438
Thyroxine_(T4)_Free_(Min),0.27000001072883606,2.700000047683716
Total_Bilirubin_(Min),0.10000000149011612,23.700000762939453
Troponin-T_(Min),0.0,149.0
Uric_Acid_(Min),0.30000001192092896,16.5
White_Blood_Cells_(Min),0.17000000178813934,361.0
pCO2_(Min),9.0,98.0
pH_(Min),5.0,8.5
pO2_(Min),18.0,609.0
