database,source_table,source_variable,source_itemid,canonical_concept,target_unit,conversion_rule,priority,special_role,review_flag,notes
mimic,labevents,Base Excess,50802,Base Excess,mEq/L,identity,1,,0,
mimic,labevents,Lactate,50813,Lactate,mmol/L,identity,1,,0,
mimic,labevents,pCO2,50818,pCO2,mmHg,identity,1,,0,
mimic,labevents,Calculated Total CO2,50804,Calculated Total CO2,mEq/L,identity,1,,0,
mimic,labevents,Urea Nitrogen,51006,BUN,mg/dL,identity,1,,0,
mimic,labevents,pH,50820,pH,,identity,1,,0,
mimic,labevents,pO2,50821,pO2,mmHg,identity,1,,0,
mimic,labevents,Alanine Aminotransferase (ALT),50861,Alanine Aminotransferase (ALT),IU/L,identity,1,,0,
mimic,labevents,Alkaline Phosphatase,50863,Alkaline Phosphatase,IU/L,identity,1,,0,
mimic,labevents,Anion Gap,50868,Anion Gap,mEq/L,identity,1,,0,
mimic,labevents,Asparate Aminotransferase (AST),50878,Aspartate Aminotransferase (AST),IU/L,identity,1,,0,
mimic,labevents,Bicarbonate,50882,Bicarbonate,mEq/L,identity,1,,0,
mimic,labevents,Chloride,50902,Chloride,mEq/L,identity,1,,0,
mimic,labevents,Creatinine,50912,Creatinine,mg/dL,identity,1,,0,
mimic,labevents,Glucose,50931,Glucose,mg/dL,identity,1,,0,
mimic,labevents,Magnesium,50960,Magnesium,mg/dL,identity,1,,0,
mimic,labevents,Phosphate,50970,Phosphate,mg/dL,identity,1,,0,
mimic,labevents,Potassium,50971,Potassium,mEq/L,identity,1,,0,
mimic,labevents,Sodium,50983,Sodium,mEq/L,identity,1,,0,
mimic,labevents,Hematocrit,51221,Hematocrit,%,identity,1,,0,
mimic,labevents,Hemoglobin,51222,Hemoglobin,g/dL,identity,1,,0,
mimic,labevents,INR(PT),51237,INR(PT),ratio,identity,1,,0,
mimic,labevents,MCH,51248,MCH,pg,identity,1,,0,
mimic,labevents,MCHC,51249,MCHC,g/dL,identity,1,,0,
mimic,labevents,MCV,51250,MCV,fL,identity,1,,0,
mimic,labevents,Platelet Count,51265,Platelet Count,K/uL,identity,1,,0,
mimic,labevents,PT,51274,PT,sec,identity,1,,0,
mimic,labevents,PTT,51275,PTT,sec,identity,1,,0,
mimic,labevents,RDW,51277,RDW,%,identity,1,,0,
mimic,labevents,Red Blood Cells,51279,Red Blood Cells,M/uL,identity,1,,0,
mimic,labevents,White Blood Cells,51301,White Blood Cells,K/uL,identity,1,,0,
mimic,chartevents,Heart Rate,220045,Heart Rate (bpm),bpm,identity,1,,0,
mimic,chartevents,Non Invasive Blood Pressure diastolic,220180,Non-Invasive Blood Pressure diastolic (mmHg),mmHg,identity,1,,0,
mimic,chartevents,Non Invasive Blood Pressure systolic,220179,Non-Invasive Blood Pressure systolic (mmHg),mmHg,identity,1,,0,
mimic,chartevents,Non Invasive Blood Pressure mean,220181,Non-Invasive Blood Pressure mean (mmHg),mmHg,identity,1,,0,
mimic,chartevents,Respiratory Rate,220210,Respiratory Rate (insp/min),insp/min,identity,1,,0,
mimic,chartevents,O2 saturation pulseoxymetry,220277,O2 saturation pulse oximetry (%),%,identity,1,,0,
mimic,labevents,"Calcium, Total",50893,Calcium non-ionized,mg/dL,identity,1,,0,
mimic,labevents,Creatine Kinase (CK),50910,CK (CPK),IU/L,identity,1,,0,
mimic,chartevents,Temperature Fahrenheit,223761,Temperature Fahrenheit (F),°F,identity,1,,0,
mimic,chartevents,Pain Level,223791,Pain Level,score,identity,1,,0,
mimic,chartevents,O2 Flow,223834,O2 Flow (L/min),L/min,identity,1,,0,
mimic,chartevents,Inspired O2 Fraction,223835,Inspired O2 Fraction,%,fio2_to_percent,1,,0,
mimic,labevents,Free Calcium,50808,Ionized Calcium,mmol/L,identity,1,,0,
mimic,labevents,Albumin,50862,Albumin,g/dL,identity,1,,0,
mimic,chartevents,GCS - Eye Opening,220739,GCS,score,gcs_component_eye,1,gcs_component_eye,0,
mimic,chartevents,GCS - Motor Response,223901,GCS,score,gcs_component_motor,1,gcs_component_motor,0,
mimic,chartevents,GCS - Verbal Response,223900,GCS,score,gcs_component_verbal,1,gcs_component_verbal,0,
mimic,labevents,"Bilirubin, Total",50885,Total Bilirubin,mg/dL,identity,1,,0,
mimic,labevents,Lactate Dehydrogenase (LD),50954,LDH,IU/L,identity,1,,0,
mimic,chartevents,ETOH,225106,ETOH,source-specific,identity,1,,1,Legacy ETOH mapping retained for reproducibility; MIMIC is binary-like while eICU source is quantitative ethanol. Review before manuscript lock.
mimic,chartevents,Arterial Blood Pressure systolic,220050,Arterial Blood Pressure systolic (mmHg),mmHg,identity,1,,0,
mimic,chartevents,Arterial Blood Pressure diastolic,220051,Arterial Blood Pressure diastolic (mmHg),mmHg,identity,1,,0,
mimic,chartevents,Arterial Blood Pressure mean,220052,Arterial Blood Pressure mean (mmHg),mmHg,identity,1,,0,
mimic,labevents,"Osmolality, Measured",50964,Serum Osmolality,mOsm/kg,identity,1,,0,
mimic,labevents,Troponin T,51003,Troponin-T,ng/mL,identity,1,,0,
mimic,labevents,Uric Acid,51007,Uric Acid,mg/dL,identity,1,,0,
mimic,labevents,Ammonia,50866,Ammonia,umol/L,identity,1,,0,
mimic,labevents,C-Reactive Protein,50889,C Reactive Protein (CRP),mg/L,identity,1,,0,
mimic,labevents,"Fibrinogen, Functional",51214,Fibrinogen,mg/dL,identity,1,,0,
mimic,chartevents,Pulmonary Artery Pressure systolic,220059,Pulmonary Artery Pressure systolic (mmHg),mmHg,identity,1,,0,
mimic,chartevents,Pulmonary Artery Pressure diastolic,220060,Pulmonary Artery Pressure diastolic (mmHg),mmHg,identity,1,,0,
mimic,chartevents,Pulmonary Artery Pressure mean,220061,Pulmonary Artery Pressure mean (mmHg),mmHg,identity,1,,0,
mimic,chartevents,Glucose finger stick (range 70-100),225664,Glucose finger stick (range 70-100),mg/dL,identity,1,,0,
mimic,labevents,"Reticulocyte Count, Automated",51283,Reticulocyte Count Automated,%,identity,1,,0,
mimic,labevents,Basophils,51146,Differential-Basos,%,identity,1,,0,
mimic,labevents,Eosinophils,51200,Differential-Eos,%,identity,1,,0,
mimic,labevents,Lymphocytes,51244,Differential-Lymphs,%,identity,1,,0,
mimic,labevents,Monocytes,51254,Differential-Monos,%,identity,1,,0,
mimic,labevents,Neutrophils,51256,Differential-Neuts,%,identity,1,,0,
mimic,labevents,Haptoglobin,50935,Haptoglobin,mg/dL,identity,1,,0,
mimic,labevents,"Bilirubin, Direct",50883,Bilirubin Direct,mg/dL,identity,1,,0,
mimic,labevents,"Thyroxine (T4), Free",50995,Thyroxine (T4) Free,ng/dL,identity,1,,0,
mimic,labevents,Sedimentation Rate,51288,Sedimentation Rate,mm/hr,identity,1,,0,
mimic,labevents,"Creatine Kinase, MB Isoenzyme",50911,CK-MB,ng/mL,identity,1,,0,
mimic,labevents,Amylase,50867,Amylase,IU/L,identity,1,,0,
mimic,chartevents,PEEP set,220339,PEEP set (cmH2O),cmH2O,identity,1,,0,
mimic,chartevents,Central Venous Pressure,220074,Central Venous Pressure (mmHg),mmHg,identity,1,,0,
eicu,lab,Base Excess,7,Base Excess,mEq/L,identity,1,,0,
eicu,lab,lactate,1,Lactate,mmol/L,identity,1,,0,
eicu,lab,paCO2,7,pCO2,mmHg,identity,1,,0,
eicu,lab,Total CO2,7,Calculated Total CO2,mEq/L,identity,1,,0,
eicu,lab,BUN,1,BUN,mg/dL,identity,1,,0,
eicu,lab,pH,7,pH,,identity,1,,0,
eicu,lab,paO2,7,pO2,mmHg,identity,1,,0,
eicu,lab,ALT (SGPT),1,Alanine Aminotransferase (ALT),IU/L,identity,1,,0,
eicu,lab,alkaline phos.,1,Alkaline Phosphatase,IU/L,identity,1,,0,
eicu,lab,anion gap,1,Anion Gap,mEq/L,identity,1,,0,
eicu,lab,AST (SGOT),1,Aspartate Aminotransferase (AST),IU/L,identity,1,,0,
eicu,lab,bicarbonate,1,Bicarbonate,mEq/L,identity,1,,0,
eicu,lab,chloride,1,Chloride,mEq/L,identity,1,,0,
eicu,lab,creatinine,1,Creatinine,mg/dL,identity,1,,0,
eicu,lab,glucose,1,Glucose,mg/dL,identity,1,,0,
eicu,lab,magnesium,1,Magnesium,mg/dL,identity,1,,0,
eicu,lab,phosphate,1,Phosphate,mg/dL,identity,1,,0,
eicu,lab,potassium,1,Potassium,mEq/L,identity,1,,0,
eicu,lab,sodium,1,Sodium,mEq/L,identity,1,,0,
eicu,lab,Hct,3,Hematocrit,%,identity,1,,0,
eicu,lab,Hgb,3,Hemoglobin,g/dL,identity,1,,0,
eicu,lab,PT - INR,3,INR(PT),ratio,identity,1,,0,
eicu,lab,MCH,3,MCH,pg,identity,1,,0,
eicu,lab,MCHC,3,MCHC,g/dL,identity,1,,0,
eicu,lab,MCV,3,MCV,fL,identity,1,,0,
eicu,lab,platelets x 1000,3,Platelet Count,K/uL,identity,1,,0,
eicu,lab,PT,3,PT,sec,identity,1,,0,
eicu,lab,PTT,3,PTT,sec,identity,1,,0,
eicu,lab,RDW,3,RDW,%,identity,1,,0,
eicu,lab,RBC,3,Red Blood Cells,M/uL,identity,1,,0,
eicu,lab,WBC x 1000,3,White Blood Cells,K/uL,identity,1,,0,
eicu,nursecharting,Heart Rate,,Heart Rate (bpm),bpm,identity,1,,0,
eicu,nursecharting,Non-Invasive BP Diastolic,,Non-Invasive Blood Pressure diastolic (mmHg),mmHg,identity,1,,0,
eicu,nursecharting,Non-Invasive BP Systolic,,Non-Invasive Blood Pressure systolic (mmHg),mmHg,identity,1,,0,
eicu,nursecharting,Non-Invasive BP Mean,,Non-Invasive Blood Pressure mean (mmHg),mmHg,identity,1,,0,
eicu,nursecharting,Respiratory Rate,,Respiratory Rate (insp/min),insp/min,identity,1,,0,
eicu,nursecharting,O2 Saturation,,O2 saturation pulse oximetry (%),%,identity,1,,0,
eicu,lab,calcium,1,Calcium non-ionized,mg/dL,identity,1,,0,
eicu,lab,CPK,1,CK (CPK),IU/L,identity,1,,0,
eicu,nursecharting,Temperature (F),,Temperature Fahrenheit (F),°F,identity,1,,0,
eicu,nursecharting,Pain Score,,Pain Level,score,identity,1,,0,
eicu,lab,LPM O2,7,O2 Flow (L/min),L/min,identity,1,,0,
eicu,lab,FiO2,7,Inspired O2 Fraction,%,fio2_to_percent,1,,0,
eicu,lab,ionized calcium,1,Ionized Calcium,mmol/L,ionized_calcium_mgdl_to_mmoll,1,,0,
eicu,lab,albumin,1,Albumin,g/dL,identity,1,,0,
eicu,nursecharting,GCS Total,,GCS,score,identity,1,,0,
eicu,lab,total bilirubin,1,Total Bilirubin,mg/dL,identity,1,,0,
eicu,lab,LDH,1,LDH,IU/L,identity,1,,0,
eicu,lab,ethanol,2,ETOH,source-specific,identity,1,,1,Legacy ETOH↔ethanol mapping retained but semantically/unit-wise imperfect; review before manuscript lock.
eicu,nursecharting,Invasive BP Systolic,,Arterial Blood Pressure systolic (mmHg),mmHg,identity,1,,0,
eicu,nursecharting,Invasive BP Diastolic,,Arterial Blood Pressure diastolic (mmHg),mmHg,identity,1,,0,
eicu,nursecharting,Invasive BP Mean,,Arterial Blood Pressure mean (mmHg),mmHg,identity,1,,0,
eicu,lab,serum osmolality,4,Serum Osmolality,mOsm/kg,identity,1,,0,
eicu,lab,troponin - T,1,Troponin-T,ng/mL,identity,1,,0,
eicu,lab,uric acid,4,Uric Acid,mg/dL,identity,1,,0,
eicu,lab,ammonia,4,Ammonia,umol/L,ammonia_mcgdl_to_umoll,1,,0,
eicu,lab,CRP,4,C Reactive Protein (CRP),mg/L,crp_mgdl_to_mgl,1,,0,
eicu,lab,fibrinogen,3,Fibrinogen,mg/dL,identity,1,,0,
eicu,nursecharting,PA Systolic,,Pulmonary Artery Pressure systolic (mmHg),mmHg,identity,1,,0,
eicu,nursecharting,PA Diastolic,,Pulmonary Artery Pressure diastolic (mmHg),mmHg,identity,1,,0,
eicu,nursecharting,PA Mean,,Pulmonary Artery Pressure mean (mmHg),mmHg,identity,1,,0,
eicu,lab,bedside glucose,4,Glucose finger stick (range 70-100),mg/dL,identity,1,,0,
eicu,lab,reticulocyte count,3,Reticulocyte Count Automated,%,identity,1,,0,
eicu,lab,-basos,3,Differential-Basos,%,identity,1,,0,
eicu,lab,-eos,3,Differential-Eos,%,identity,1,,0,
eicu,lab,-lymphs,3,Differential-Lymphs,%,identity,1,,0,
eicu,lab,-monos,3,Differential-Monos,%,identity,1,,0,
eicu,lab,-polys,3,Differential-Neuts,%,identity,1,,0,
eicu,lab,haptoglobin,3,Haptoglobin,mg/dL,identity,1,,0,
eicu,lab,direct bilirubin,1,Bilirubin Direct,mg/dL,identity,1,,0,
eicu,lab,free T4,4,Thyroxine (T4) Free,ng/dL,identity,1,,0,
eicu,lab,ESR,3,Sedimentation Rate,mm/hr,identity,1,,0,
eicu,lab,CPK-MB,1,CK-MB,ng/mL,identity,1,,0,
eicu,lab,amylase,1,Amylase,IU/L,identity,1,,0,
eicu,lab,PEEP,7,PEEP set (cmH2O),cmH2O,identity,1,,0,
eicu,nursecharting,CVP,,Central Venous Pressure (mmHg),mmHg,identity,1,,0,
